after load_pe
    PC:  5368710167 -> 5368803708, op->size=32, di->imm.addr=93536 ; disp=0, dispSize=0
    PC:  5368710199 -> 5368803708, op->size=32, di->imm.addr=93504 ; disp=0, dispSize=0
    PC:  5368710231 -> 5368803708, op->size=32, di->imm.addr=93472 ; disp=0, dispSize=0
    PC:  5368710359 -> 5368803708, op->size=32, di->imm.addr=93344 ; disp=0, dispSize=0
    PC:  5368710385 -> 5368808506, op->size=32, di->imm.addr=98116 ; disp=0, dispSize=0
    PC:  5368710401 -> 5368803708, op->size=32, di->imm.addr=93302 ; disp=0, dispSize=0
    PC:  5368710427 -> 5368753680, op->size=32, di->imm.addr=43248 ; disp=0, dispSize=0
    PC:  5368710443 -> 5368803708, op->size=32, di->imm.addr=93260 ; disp=0, dispSize=0
    PC:  5368710468 -> 5368710876, op->size=32, di->imm.addr=403 ; disp=0, dispSize=0
    PC:  5368710539 -> 5368763264, op->size=32, di->imm.addr=52720 ; disp=0, dispSize=0
    PC:  5368710561 -> 5368809468, op->size=32, di->imm.addr=98901 ; disp=0, dispSize=0
    PC:  5368710573 -> 5368710831, op->size=32, di->imm.addr=252 ; disp=0, dispSize=0
    PC:  5368710601 -> 5368710593, op->size=8, di->imm.addr=-10 ; disp=0, dispSize=0
    PC:  5368710606 -> 5368710657, op->size=8, di->imm.addr=49 ; disp=0, dispSize=0
    PC:  5368710639 -> 5368710736, op->size=8, di->imm.addr=95 ; disp=0, dispSize=0
    PC:  5368710655 -> 5368710765, op->size=8, di->imm.addr=108 ; disp=0, dispSize=0
    PC:  5368710669 -> 5368710661, op->size=8, di->imm.addr=-10 ; disp=0, dispSize=0
    PC:  5368710676 -> 5368780016, op->size=32, di->imm.addr=69335 ; disp=0, dispSize=0
    PC:  5368710690 -> 5368777424, op->size=32, di->imm.addr=66729 ; disp=0, dispSize=0
    PC:  5368710704 -> 5368809491, op->size=32, di->imm.addr=98781 ; disp=0, dispSize=0
    PC:  5368710722 -> 5368781660, op->size=32, di->imm.addr=70933 ; disp=0, dispSize=0
    PC:  5368710734 -> 5368710802, op->size=8, di->imm.addr=66 ; disp=0, dispSize=0
    PC:  5368710739 -> 5368809605, op->size=32, di->imm.addr=98860 ; disp=0, dispSize=0
    PC:  5368710748 -> 5368809524, op->size=32, di->imm.addr=98770 ; disp=0, dispSize=0
    PC:  5368710793 -> 5368809569, op->size=32, di->imm.addr=98770 ; disp=0, dispSize=0
    PC:  5368710819 -> 5368710831, op->size=8, di->imm.addr=10 ; disp=0, dispSize=0
    PC:  5368710826 -> 5368710584, op->size=32, di->imm.addr=-247 ; disp=0, dispSize=0
    PC:  5368710841 -> 5368802832, op->size=32, di->imm.addr=91986 ; disp=0, dispSize=0
    PC:  5368711073 -> 5368808506, op->size=32, di->imm.addr=97428 ; disp=0, dispSize=0
    PC:  5368711087 -> 5368759776, op->size=32, di->imm.addr=48684 ; disp=0, dispSize=0
    PC:  5368711094 -> 5368809754, op->size=32, di->imm.addr=98654 ; disp=0, dispSize=0
    PC:  5368711135 -> 5368710480, op->size=32, di->imm.addr=-660 ; disp=0, dispSize=0
